Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.99440505513849E-15,1.10103519706159,0.00344258551504806,0,0,0,2.17957713322354,0.178998504386709,5.06325927071686E-16,-2.64548430330197E-16,0.130111023279006,3.0330396057222E-05,0.290729649302987,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/base_link.STL,1,1,1,0.4,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/base_link.STL,,first tank-1,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_Robot_Front_Attachments,-0.110993083185633,-0.0209688861158467,-0.00942961030516387,0,0,0,0.973903374699208,0.0123670881249229,0.00152634507018076,9.35071385864195E-07,0.0163784182374264,4.88372744349265E-06,0.00726600026096406,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Robot_Front_Attachments.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Robot_Front_Attachments.STL,,Bilge Pump-1;water collector-1;fixing water slot-4;fixing water slot-1;fixing the fixing of water slot slider-2;fixing the fixing of water slot slider-1;fixing the whole machine-1,Origin_Joint_Robot_Front_Attachments,Axis_Joint_Robot_Front_Attachments,Joint_Robot_Front_Attachments,fixed,0,1.54252445791832,-0.10004,1.5707963267949,0,-1.57079632679489,base_link,0,0,0,,,,,,,,,,,,
Link_Side_Left,0.104919265146604,0.101118372719001,0.996926007551461,0,0,0,81.8084350434166,26.245543933313,-2.30945824663971E-05,-0.00577226346636962,26.2724801461104,-0.0881450822013043,0.567958263795021,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Side_Left.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Side_Left.STL,,Part1-1,Origin_Joint_Side_Left,Axis_Joint_Side_Left,Joint_Side_Left,fixed,-0.535000000000017,2.01,-0.2,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_Left_Fan,2.77555756156289E-16,0.0203953252144143,-2.22044604925031E-16,0,0,0,0.825243626112143,0.00759152180746469,-2.56221020279383E-18,8.67361737988404E-19,0.0142303156032698,6.35255307100973E-18,0.00759152180746468,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Left_Fan.STL,0.780392156862745,0.76078431372549,0.741176470588235,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Left_Fan.STL,,fan-1,Origin_Joint_Left_Fan,Axis1 <fan-1>,Joint_Left_Fan,continuous,0.22,0.0499999999999999,1.71,3.14159265358979,0.590305077357297,1.5707963267949,Link_Side_Left,0,1,0,,,,,,,,,,,,
Link_Side_Right,0.104919265146604,0.101118372719001,0.996926007551461,0,0,0,81.8084350434166,26.245543933313,-2.30945824663705E-05,-0.00577226346637045,26.2724801461104,-0.0881450822013042,0.567958263795021,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Side_Right.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Side_Right.STL,,Part1-7,Origin_Joint_Side_Right,Axis_Joint_Side_Right,Joint_Side_Right,fixed,0.324999999999983,2.01,-0.2,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_Right_Fan,0,0.0203953252144143,0,0,0,0,0.825243626112141,0.00759152180746467,-2.10393213758413E-18,-4.98732999343332E-18,0.0142303156032698,2.26567933441001E-18,0.00759152180746466,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Right_Fan.STL,0.780392156862745,0.76078431372549,0.741176470588235,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Right_Fan.STL,,fan-3,Origin_Joint_Right_Fan,Axis1 <fan-3>,Joint_Right_Fan,continuous,-0.00999999999999995,0.05,1.70999999999999,3.14159265358979,-0.357558804142984,-1.5707963267949,Link_Side_Right,0,1,0,,,,,,,,,,,,
Link_Left_Metal,0.565954361793534,0.132380012619458,-0.0180374997719361,0,0,0,1.86329947852884,0.0303193760291818,-0.0118768193945372,-9.69091887674537E-18,0.158217746859194,-1.28475159018914E-17,0.187968319674362,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Left_Metal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Left_Metal.STL,,side metal structure-1;side-1,Origin_Joint_Left_Metal,Axis_Joint_Left_Metal,Joint_Left_Metal,fixed,-0.375000000000015,1.76,0,1.5707963267949,0,-1.57079632679489,base_link,0,0,0,,,,,,,,,,,,
Link_Right_Metal,0.565954361793534,0.132380012619458,-0.0319625002280638,0,0,0,1.86329947852884,0.0303193760291818,-0.0118768193945371,-2.97907748819959E-18,0.158217746859193,-8.99542545330207E-18,0.187968319674362,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Right_Metal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Right_Metal.STL,,side metal structure-3;side-3,Origin_Joint_Right_Metal,Axis_Joint_Right_Metal,Joint_Right_Metal,fixed,0.324999999999985,1.76000000000001,0,1.5707963267949,0,-1.57079632679489,base_link,0,0,0,,,,,,,,,,,,
Link_Top_Metal,0.325,0.0100000000000001,-0.18,0,0,0,1.82,0.0344933333333332,-4.0442953474234E-17,3.77543054117867E-17,0.127111833333333,-1.69671287246877E-17,0.0927398333333331,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Top_Metal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Top_Metal.STL,,upper frame-1,Origin_Joint_Top_Metal,Axis_Joint_Top_Metal,Joint_Top_Metal,fixed,-0.325000000000007,0.901375000000002,0.331387406397839,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_Lackaging,-1.37922115839295E-07,0.000260439184406436,-0.22106537110126,0,0,0,0.373244504052969,0.00619580454940661,-1.14148138610347E-09,2.97540171850276E-09,0.00619819616642874,-1.72909730673878E-05,0.000270307716248751,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Lackaging.STL,1,0.937254901960784,0.137254901960784,1,0,0,0,0,0,0,package://Assem2.SLDASM/meshes/Link_Lackaging.STL,,water lackaging-1,Origin_Joint_Lackaging,Axis_Joint_Lackaging,Joint_Lackaging,fixed,0,0.702000000000005,-0.0100000000000001,1.5707963267949,0,-3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
